
object_SmallBench									 	 Small Bench
buildtoolbar_popup_obj_SmallBench					 	 A small bench for prisoners anywhere in the prison.

object_BasketballBench									 Basketball Bench
buildtoolbar_popup_obj_BasketballBench					 A small bench for prisoners who want to watch a basketball game.
action_WatchBasketball									 Watching basketball game

object_BasketballContainer3								 Basketball Container
buildtoolbar_popup_obj_BasketballContainer3				 Belongs to Basketball 3.0\nIf you set the ball to be killed after a match, it will be stored into this Basketball Container.\n\nIt's possible to place the Basketball Container anywhere in the prison, but of course it belongs nearby a Basketball Court or Half Court.

object_Basket3											 Basket

object_BasketballCourtFull								 Basketball Court
buildtoolbar_popup_obj_BasketballCourtFull				 Belongs to Basketball 3.0\nCome on and slam and welcome to the jam!\nClick my buttons to configure the game.

object_BasketballCourtHalf								 Basketball Half Court
buildtoolbar_popup_obj_BasketballCourtHalf				 Belongs to Basketball 3.0\nCome on and slam and welcome to the jam!\nClick my buttons to configure the game.

object_LCDletter										 LCD
object_LCDcolon											 LCD
object_LCDnumber										 LCD

tooltip_scoreboardconfig								 =SCOREBOARD=
tooltip_button_toggleFindScoreboard						 Find board
tooltip_button_toggleScoreboardcolour					 Border: *X
tooltip_button_toggleLCDtextcolour						 Text : *X
tooltip_button_toggleLCDscorecolour						 Score: *X
tooltip_button_toggleLCDclockcolour						 Clock: *X
tooltip_button_toggleLCDShowClock						 Toggle clock
tooltip_button_toggleLCDShowSeconds						 Seconds: *X

tooltip_button_showseconds0								 off
tooltip_button_showseconds1								 on

tooltip_button_boardcolour0								 grey
tooltip_button_boardcolour1								 blue
tooltip_button_boardcolour2								 brown
tooltip_button_boardcolour3								 white
tooltip_button_boardcolour4								 red

tooltip_button_textcolour0								 red
tooltip_button_textcolour43								 cyan
tooltip_button_textcolour86								 yellow
tooltip_button_textcolour129							 green

tooltip_button_scorecolour0								 red
tooltip_button_scorecolour13							 cyan
tooltip_button_scorecolour26							 yellow
tooltip_button_scorecolour39							 green

tooltip_button_clockcolour0								 red
tooltip_button_clockcolour43							 cyan
tooltip_button_clockcolour86							 yellow
tooltip_button_clockcolour129							 green


object_ScoreBoard3										 Score Board 3.0
